Post ID,Post creation date,Post message,Post type,Post impressions,Post organic reach,% of reach from paid,% of reach from organic,Post reach,Shares on posts,Total post reactions,Post photo views,Video views,Comments on posts,Shares on shares,Organic video views,Post link clicks,RowHash
Post_ID,Post_creation_date,Post_message,Post_type,Post_impressions,Post_organic_reach,__of_reach_from_paid,__of_reach_from_organic,Post_reach,Shares_on_posts,Total_post_reactions,Post_photo_views,Video_views,Comments_on_posts,Shares_on_shares,Organic_video_views,Post_link_clicks,ad6948312c6b1d6d7d4248adf20c90abfb0157a04c9699d18ae49f5f0e18c478
108778868994125_391632399989122,2024-01-14,,cover_photo,32,31,0,100,31,0,0,0,0,0,0,0,0,460dc3f858c4a7355d3538c7f61f4df20230ecfa457caa06e0290edb6b70cb05
108778868994125_128429563695722,2023-10-06,"Use this daily ritual to help wire your child's brain for positivity, throughout your divorce/separation and beyond!",native_templates,5,5,0,100,5,0,0,0,0,0,0,0,0,b9eab858a7bdf927757d30fb131f41891bb5ea5d163e977765dfd1e13d5bd9bf
108778868994125_122219331434027157,2025-01-19,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,159,145,0,100,145,0,1,0,0,2,0,0,0,f58cdaefc106439e0196fb734eb3090d28152d9e53056d6a92afb866d840d8f7
108778868994125_122219180282027157,2025-01-18,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,149,143,0,100,143,0,2,2,0,2,0,0,0,2bdf45935242d0829766a035346a34e83cf3e3d50a61e38d7d8242882a94666c
108778868994125_122219037476027157,2025-01-17,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,189,182,0,100,182,0,1,14,0,2,0,0,0,fa2e5484a0362f207cfc436b4e4c6e266c1986d9e0b835bfdde20b246381ad18
108778868994125_122218518914027157,2025-01-14,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,104,101,0,100,101,0,1,0,0,0,0,0,0,f35e8a9d727d9d721f4e3dbec2ade7608c4f5cade44f5ec0fe456aa1d47ed005
108778868994125_122218295540027157,2025-01-13,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",album,173,167,0,100,167,1,2,14,0,1,0,0,0,7351a283cd6be3864a4253fb42d1a367ed280d40e19de3b7ab14f7ff02293150
108778868994125_122218094978027157,2025-01-12,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",multi_share,97,92,0,100,92,0,0,0,0,0,0,0,0,52b291238c0230771d96924b751097660e3eeb8abc1ca12604e5147b25d40f1b
108778868994125_122217862124027157,2025-01-11,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",photo,147,141,0,100,141,0,0,0,0,2,0,0,0,71afab659d58f259f2957848b6f5694fbec5a37d45537556cee52a29bc118902
