Date,Media ID,Media caption,Media product type,Media impressions,Media reach,Like count,Comments count,Shares,Unique saves,Video views,RowHash
19/01/2025,17902204887015249,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",FEED,868,814,10,8,1,2,0,673eb16a83d01ab25bd18d6511109e6f7205935760ece814ff19ea30f13c2b14
18/01/2025,18071205646706820,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",FEED,741,695,8,2,0,1,0,55102c6de8e1a68e015c44e3c8a600d06088fa042c29d0a1b9e023ca9af5d3c0
17/01/2025,18027615518313508,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",FEED,1821,1666,24,14,0,13,0,68123274789468c3beb60c484c03735b62f4046cd452f3c1c2acee6cc8ac792c
16/01/2025,18034591967437473,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,1280,13,27,1,5,0,905354b956819e1cf3738a4541695cc1659b19fa2e7223e990d2b0df932bdecb
15/01/2025,18012211340694193,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",REELS,0,753,6,8,1,2,0,48a803f148ba92cef3d43ac7944ce9bb44ffe97486927a8ab67ef25aa54954ff
14/01/2025,18121297939423936,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",FEED,2980,2719,67,30,0,41,0,6b72bd8e876bd6b5320a9e0eff936532605307a78771c1a76ce99928ff627fc4
13/01/2025,17854481766361749,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",FEED,1975,1768,30,26,0,25,0,ada364bbdf2dfcc66151c4fbe4e967f5f86b7499acd31e1854882cd9c13846d1
12/01/2025,17933197655976170,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",FEED,958,907,5,6,0,2,0,d44efe1b80e81a0037be552d092f6a7aae3ff14cafe69964e093dc379cf6138d
11/01/2025,17972263574687461,"Comment ‘CLASS’ to sign up to my free masterclass series! 
Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",FEED,1018,985,10,20,0,4,0,3c6bee61771400c06b23b8bbc4f9d5f0d4f67bc288dfe2dea4bec43b032510cf
10/01/2025,17943921899801708,"Comment ‘CLASS’ to sign up to my free masterclass series! Breaking down what your child needs to thrive through your divorce. 

You’ve got this muma! 💖💪

#singlemums #singlemumsuk #singlemumuk #singlemumlife #solomums #singlemomlife #singlemoms #singlemother #coparenting #singleparents #singleparenting #divorcedparents #divorcedmum #divorcedmom #lifeafterdivorce #divorce #divorcecoach #divorcecommunity #divorcewithkids #supportingchrildrenthroughdivorce #separationwithkids #childcentereddivorce #parentinganddivorce #parentingduringdivorce #mumanxiety #parentingguide #mumguilt #mumguiltisreal",FEED,1535,1382,20,19,0,4,0,57d32bc2c2ad94cc0b3f404dd79a4c67cebfb48c25c9c241df538ea230f718fb
